Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.203551890416193
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,377.665627080705
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.616
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,72.8854696086536
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,20
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.65929303100527
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5178.88431481499
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,780.738623945557
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.799
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,84.6980571024438
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.10411424455349
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4544.46688060372
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1499.50999958517
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.772
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,51.2023757404409
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.00206859459683091
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13709.0974895473
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
