Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.20355189
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,377.6656271
Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,26.616
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,72.88546961
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,20
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.659293031
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5178.884315
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,780.7386239
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.799
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,84.6980571
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.104114245
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4544.466881
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1499.51
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.772
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,51.20237574
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.002068595
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13709.09749
American Samoa,ASM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.196
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,124.684271
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.4
Andorra,AND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39780.39661
Andorra,AND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.811
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.7
Angola,AGO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.767587421
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2382.02264
Angola,AGO,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,423.1225176
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.081
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,69.69107051
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.301378716
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17456.87222
Antigua and Barbuda,ATG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.346
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,117.7035278
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.9
Argentina,ARG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.26096743
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13182.7934
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1808.760213
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.347
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,31.54770801
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Armenia,ARM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.454971036
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4791.004817
Armenia,ARM,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1347.590557
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.573
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,101.4107783
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Aruba,ABW,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.684558755
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29917.12803
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.052
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,172.8841717
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.8
Australia,AUS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,14.41042324
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,61009.80771
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4942.984807
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.488
Australia,AUS,Trade (% of GDP),NE.TRD.GNFS.ZS,45.82177023
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
